,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
2300,,,EPI_ISL_13609789,,,hCoV-19/England/LSPA-3E91D60/2022,,ba_5
2301,,,EPI_ISL_16676551,,,hCoV-19/England/BRBR-326A454C/2023,,ba_5
2302,,,EPI_ISL_18024235,,,hCoV-19/England/QEUH-326FC0CC/2022,,ba_5
2303,,,EPI_ISL_15676999,,,hCoV-19/England/LSPA-325CD748/2022,,ba_5
2304,,,EPI_ISL_14572029,,,hCoV-19/England/PHEC-YYGWGMI/2022,,ba_5
2305,,,EPI_ISL_15303922,,,hCoV-19/England/PHEC-YYG9Y8P/2022,,ba_5
2306,,,EPI_ISL_15454187,,,hCoV-19/England/PHEP-YYF4MZC/2022,,ba_5
2307,,,EPI_ISL_15019952,,,hCoV-19/England/QEUH-1520478D/2022,,ba_5
2308,,,EPI_ISL_15682229,,,hCoV-19/England/PHEP-YYF6JC7/2022,,ba_5
2309,,,EPI_ISL_13692872,,,hCoV-19/England/LSPA-3EA9CC2/2022,,ba_5
2310,,,EPI_ISL_16213819,,,hCoV-19/England/PHEC-YY8TWHJ/2022,,ba_5
2311,,,EPI_ISL_13441935,,,hCoV-19/Scotland/LSPA-3E65A40/2022,,ba_5
2312,,,EPI_ISL_16095590,,,hCoV-19/England/QEUH-3260DB5E/2022,,ba_5
2313,,,EPI_ISL_16536016,,,hCoV-19/England/QEUH-32697D08/2023,,ba_5
2314,,,EPI_ISL_15345002,,,hCoV-19/England/LSPA-3259281C/2022,,ba_5
2315,,,EPI_ISL_14299673,,,hCoV-19/Scotland/EDB67554/2022,,ba_5
2316,,,EPI_ISL_14235215,,,hCoV-19/Wales/PHWC-PKBAW3/2022,,ba_5
2317,,,EPI_ISL_13743241,,,hCoV-19/Scotland/SCOT-14449/2022,,ba_5
2318,,,EPI_ISL_16406946,,,hCoV-19/England/LSPA-32649C17/2022,,ba_5
2319,,,EPI_ISL_15329969,,,hCoV-19/England/PLYM-3258A3DA/2022,,ba_5
2320,,,EPI_ISL_13906151,,,hCoV-19/England/PHEC-YYF63F5/2022,,ba_5
2321,,,EPI_ISL_16280318,,,hCoV-19/England/QEUH-326338FE/2022,,ba_5
2322,,,EPI_ISL_14387565,,,hCoV-19/England/QEUH-3F4C774/2022,,ba_5
2323,,,EPI_ISL_15726311,,,hCoV-19/England/PHEP-YYF61CW/2022,,ba_5
2324,,,EPI_ISL_15682041,,,hCoV-19/England/PHEC-YY8KUXW/2022,,ba_5
2325,,,EPI_ISL_16830066,,,hCoV-19/Scotland/SCOT-24692/2023,,ba_5
2326,,,EPI_ISL_13108040,,,hCoV-19/England/PHEC-YYFC7R6/2022,,ba_5
2327,,,EPI_ISL_13881756,,,hCoV-19/England/PHEC-YYFHWMA/2022,,ba_5
2328,,,EPI_ISL_16356260,,,hCoV-19/England/LSPA-32640FCC/2022,,ba_5
2329,,,EPI_ISL_14173319,,,hCoV-19/England/PHEP-YYFXBCR/2022,,ba_5
2330,,,EPI_ISL_13538356,,,hCoV-19/England/QEUH-3E7E033/2022,,ba_5
2331,,,EPI_ISL_15419331,,,hCoV-19/Wales/PHWC-PKFY8R/2022,,ba_5
2332,,,EPI_ISL_15330480,,,hCoV-19/England/PHEP-YYFAJKP/2022,,ba_5
2333,,,EPI_ISL_16587692,,,hCoV-19/Wales/PHWC-PKK1GK/2023,,ba_5
2334,,,EPI_ISL_15209820,,,hCoV-19/England/QEUH-3257DA7B/2022,,ba_5
2335,,,EPI_ISL_14858928,,,hCoV-19/Wales/PHWC-PKDXMT/2022,,ba_5
2336,,,EPI_ISL_17017322,,,hCoV-19/England/PHEC-YYEN9YI/2023,,ba_5
2337,,,EPI_ISL_12779922,,,hCoV-19/Wales/PHWC-PJ59KU/2022,,ba_5
2338,,,EPI_ISL_15303735,,,hCoV-19/England/PHEC-YYG9KYT/2022,,ba_5
2339,,,EPI_ISL_14259521,,,hCoV-19/Scotland/SCOT-16813/2022,,ba_5
2340,,,EPI_ISL_14321324,,,hCoV-19/England/QEUH-3F44B16/2022,,ba_5
2341,,,EPI_ISL_13881367,,,hCoV-19/England/PHEC-YYFHE95/2022,,ba_5
2342,,,EPI_ISL_16286153,,,hCoV-19/England/LSPA-32638307/2022,,ba_5
2343,,,EPI_ISL_16213539,,,hCoV-19/England/LSPA-326215A1/2022,,ba_5
2344,,,EPI_ISL_13692878,,,hCoV-19/England/LSPA-3EAA168/2022,,ba_5
2345,,,EPI_ISL_14089657,,,hCoV-19/Scotland/EDB66736/2022,,ba_5
2346,,,EPI_ISL_16213277,,,hCoV-19/England/QEUH-326246D8/2022,,ba_5
2347,,,EPI_ISL_15650657,,,hCoV-19/Wales/PHWC-PKGKU9/2022,,ba_5
2348,,,EPI_ISL_13716042,,,hCoV-19/England/PHEC-YYFWBYT/2022,,ba_5
2349,,,EPI_ISL_14041564,,,hCoV-19/England/LSPA-3ED438D/2022,,ba_5
2350,,,EPI_ISL_14786964,,,hCoV-19/Wales/PHWC-PKDPUN/2022,,ba_5
2351,,,EPI_ISL_16286410,,,hCoV-19/England/LSPA-32637599/2022,,ba_5
2352,,,EPI_ISL_15682536,,,hCoV-19/England/PHEP-YYFHIOC/2022,,ba_5
2353,,,EPI_ISL_18023813,,,hCoV-19/England/LSPA-32635A9C/2022,,ba_5
2354,,,EPI_ISL_17094724,,,hCoV-19/England/PHEC-YYEGM9N/2023,,ba_5
2355,,,EPI_ISL_13242598,,,hCoV-19/England/LSPA-3E47394/2022,,ba_5
2356,,,EPI_ISL_16824719,,,hCoV-19/England/BRBR-326AFF61/2023,,ba_5
2357,,,EPI_ISL_15072007,,,hCoV-19/England/PHEC-YYG46DB/2022,,ba_5
2358,,,EPI_ISL_13712261,,,hCoV-19/Scotland/LSPA-3EAA317/2022,,ba_5
2359,,,EPI_ISL_16074978,,,hCoV-19/England/PHEC-YY8OFO1/2022,,ba_5
2360,,,EPI_ISL_16109219,,,hCoV-19/Wales/PHWC-PKE8KT/2022,,ba_5
2361,,,EPI_ISL_16614922,,,hCoV-19/England/PHEC-YY84ZUG/2023,,ba_5
2362,,,EPI_ISL_14023833,,,hCoV-19/England/PHEC-YYGBSMC/2022,,ba_5
2363,,,EPI_ISL_15682455,,,hCoV-19/England/PHEP-YYFH6U7/2022,,ba_5
2364,,,EPI_ISL_14041465,,,hCoV-19/England/LSPA-3ED579F/2022,,ba_5
2365,,,EPI_ISL_13841387,,,hCoV-19/England/PHEC-YYF4IF8/2022,,ba_5
2366,,,EPI_ISL_15212879,,,hCoV-19/Scotland/SCOT-19322/2022,,ba_5
2367,,,EPI_ISL_14572534,,,hCoV-19/England/PHEP-YYFUC9J/2022,,ba_5
2368,,,EPI_ISL_16968983,,,hCoV-19/England/QEUH-326CB55E/2023,,ba_5
2369,,,EPI_ISL_14235142,,,hCoV-19/Wales/PHWC-PKB73K/2022,,ba_5
2370,,,EPI_ISL_16441949,,,hCoV-19/England/LSPA-3266DEAE/2022,,ba_5
2371,,,EPI_ISL_15212635,,,hCoV-19/England/PHEP-YYFSQZT/2022,,ba_5
2372,,,EPI_ISL_14572541,,,hCoV-19/England/PHEP-YYFUCKW/2022,,ba_5
2373,,,EPI_ISL_14143878,,,hCoV-19/Wales/PHWC-PKYIIH/2022,,ba_5
2374,,,EPI_ISL_14647923,,,hCoV-19/England/LSPA-3F6B5C0/2022,,ba_5
2375,,,EPI_ISL_13842043,,,hCoV-19/England/PHEP-YYFJQ9H/2022,,ba_5
2376,,,EPI_ISL_15110187,,,hCoV-19/England/PHEC-YYG5ESQ/2022,,ba_5
2377,,,EPI_ISL_14950509,,,hCoV-19/England/PHEP-YYFIDK3/2022,,ba_5
2378,,,EPI_ISL_13065719,,,hCoV-19/England/LSPA-3E34770/2022,,ba_5
2379,,,EPI_ISL_13987240,,,hCoV-19/England/PLYM-3EE6591/2022,,ba_5
2380,,,EPI_ISL_15741512,,,hCoV-19/England/PHEC-YY8NOZS/2022,,ba_5
2381,,,EPI_ISL_16979294,,,hCoV-19/Scotland/SCOT-22435/2022,,ba_5
2382,,,EPI_ISL_15272243,,,hCoV-19/England/QEUH-32584376/2022,,ba_5
2383,,,EPI_ISL_16829531,,,hCoV-19/England/PHEP-YYGEASF/2023,,ba_5
2384,,,EPI_ISL_15473456,,,hCoV-19/England/QEUH-325AAE00/2022,,ba_5
2385,,,EPI_ISL_18024308,,,hCoV-19/England/QEUH-326F897A/2022,,ba_5
2386,,,EPI_ISL_14165918,,,hCoV-19/England/LSPA-3F04E73/2022,,ba_5
2387,,,EPI_ISL_14296384,,,hCoV-19/England/LSPA-3F3DD1A/2022,,ba_5
2388,,,EPI_ISL_14618650,,,hCoV-19/England/QEUH-3F637D1/2022,,ba_5
2389,,,EPI_ISL_14354442,,,hCoV-19/Scotland/SCOT-15354/2022,,ba_5
2390,,,EPI_ISL_15960821,,,hCoV-19/England/QEUH-325F92D9/2022,,ba_5
2391,,,EPI_ISL_14020822,,,hCoV-19/Scotland/PLYM-3EEAB6E/2022,,ba_5
2392,,,EPI_ISL_15403538,,,hCoV-19/England/LSPA-325A8400/2022,,ba_5
2393,,,EPI_ISL_14509274,,,hCoV-19/England/PHEC-YYG19YS/2022,,ba_5
2394,,,EPI_ISL_15249115,,,hCoV-19/England/PHEC-YYG7B6B/2022,,ba_5
2395,,,EPI_ISL_16429947,,,hCoV-19/England/QEUH-326553E6/2022,,ba_5
2396,,,EPI_ISL_15761110,,,hCoV-19/Wales/PHWC-PKG5M9/2022,,ba_5
2397,,,EPI_ISL_13881423,,,hCoV-19/England/PHEC-YYFHGKE/2022,,ba_5
2398,,,EPI_ISL_14431525,,,hCoV-19/England/PHEC-YYGOWOR/2022,,ba_5
2399,,,EPI_ISL_16282045,,,hCoV-19/Wales/PHWC-PKEZ9S/2022,,ba_5
2400,,,EPI_ISL_13823988,,,hCoV-19/England/PHEC-YYF3HNE/2022,,ba_5
2401,,,EPI_ISL_15192290,,,hCoV-19/Scotland/SCOT-19149/2022,,ba_5
2402,,,EPI_ISL_15774625,,,hCoV-19/England/LSPA-325EA29F/2022,,ba_5
2403,,,EPI_ISL_13617179,,,hCoV-19/Wales/PHWC-PJ7W9X/2022,,ba_5
2404,,,EPI_ISL_16829156,,,hCoV-19/England/PHEC-YY897X9/2023,,ba_5
2405,,,EPI_ISL_13186007,,,hCoV-19/England/QEUH-3E3E13C/2022,,ba_5
2406,,,EPI_ISL_15283533,,,hCoV-19/England/PHEP-YYFZEZI/2022,,ba_5
2407,,,EPI_ISL_16633510,,,hCoV-19/England/BRBR-326A204D/2023,,ba_5
2408,,,EPI_ISL_16234302,,,hCoV-19/Wales/PHWC-PKE1IX/2022,,ba_5
2409,,,EPI_ISL_15110302,,,hCoV-19/England/PHEC-YYG5QKB/2022,,ba_5
2410,,,EPI_ISL_15419196,,,hCoV-19/Scotland/EDB72241/2022,,ba_5
2411,,,EPI_ISL_15682086,,,hCoV-19/England/PHEC-YY8KXN1/2022,,ba_5
2412,,,EPI_ISL_15601161,,,hCoV-19/England/PLYM-325CFAE3/2022,,ba_5
2413,,,EPI_ISL_16213714,,,hCoV-19/England/LSPA-3261F904/2022,,ba_5
2414,,,EPI_ISL_14459518,,,hCoV-19/England/PHEC-YYGTH9H/2022,,ba_5
2415,,,EPI_ISL_16547360,,,hCoV-19/Wales/PHWC-PKKGZU/2022,,ba_5
2416,,,EPI_ISL_13516915,,,hCoV-19/Scotland/LSPA-3E74079/2022,,ba_5
2417,,,EPI_ISL_15468181,,,hCoV-19/England/LSPA-325A7FC4/2022,,ba_5
2418,,,EPI_ISL_13733187,,,hCoV-19/England/LSPA-3EB580B/2022,,ba_5
2419,,,EPI_ISL_15612497,,,hCoV-19/Scotland/EDB72662/2022,,ba_5
2420,,,EPI_ISL_16236237,,,hCoV-19/England/LSPA-326258FF/2022,,ba_5
2421,,,EPI_ISL_14172681,,,hCoV-19/England/PHEC-YYGFOPG/2022,,ba_5
2422,,,EPI_ISL_16483913,,,hCoV-19/England/PHEP-YYGREOJ/2022,,ba_5
2423,,,EPI_ISL_13470971,,,hCoV-19/England/LSPA-3E72F9C/2022,,ba_5
2424,,,EPI_ISL_15580708,,,hCoV-19/England/PHEC-YY8GW8M/2022,,ba_5
2425,,,EPI_ISL_17209415,,,hCoV-19/Wales/PHWC-PKCHYE/2023,,ba_5
2426,,,EPI_ISL_14023942,,,hCoV-19/England/PHEC-YYGBXZ4/2022,,ba_5
2427,,,EPI_ISL_15677030,,,hCoV-19/England/QEUH-325CEE51/2022,,ba_5
2428,,,EPI_ISL_15468926,,,hCoV-19/England/PLYM-325B8CE7/2022,,ba_5
2429,,,EPI_ISL_16052202,,,hCoV-19/England/LSPA-3260733E/2022,,ba_5
2430,,,EPI_ISL_14948716,,,hCoV-19/England/LSPA-3F8DBF3/2022,,ba_5
2431,,,EPI_ISL_17210081,,,hCoV-19/England/QEUH-326F797B/2023,,ba_5
2432,,,EPI_ISL_14919360,,,hCoV-19/England/PHEC-YYG3JUZ/2022,,ba_5
2433,,,EPI_ISL_15099586,,,hCoV-19/England/LSPA-2C4CE6A8/2022,,ba_5
2434,,,EPI_ISL_15714082,,,hCoV-19/Scotland/QEUH-325D9415/2022,,ba_5
2435,,,EPI_ISL_16903157,,,hCoV-19/Northern Ireland/QEUH-326BE381/2023,,ba_5
2436,,,EPI_ISL_15474782,,,hCoV-19/England/PHEC-YY8R6H4/2022,,ba_5
2437,,,EPI_ISL_15761121,,,hCoV-19/Wales/PHWC-PKG73Y/2022,,ba_5
2438,,,EPI_ISL_13656960,,,hCoV-19/England/QEUH-3E95D7B/2022,,ba_5
2439,,,EPI_ISL_14172001,,,hCoV-19/England/PHEC-YYG8TAK/2022,,ba_5
2440,,,EPI_ISL_13657721,,,hCoV-19/England/PHEP-YYFD9YS/2022,,ba_5
2441,,,EPI_ISL_17242138,,,hCoV-19/England/BRBR-32701A4D/2023,,ba_5
2442,,,EPI_ISL_13798600,,,hCoV-19/England/PHEP-YYF84P3/2022,,ba_5
2443,,,EPI_ISL_14351623,,,hCoV-19/England/LSPA-3F4AF14/2022,,ba_5
2444,,,EPI_ISL_15878280,,,hCoV-19/England/LSPA-325F34F7/2022,,ba_5
2445,,,EPI_ISL_15926592,,,hCoV-19/Wales/PHWC-PK8XD3/2022,,ba_5
2446,,,EPI_ISL_15366033,,,hCoV-19/Scotland/LSPA-3258FDD7/2022,,ba_5
2447,,,EPI_ISL_14193949,,,hCoV-19/England/LSPA-3F1FDC3/2022,,ba_5
2448,,,EPI_ISL_13028484,,,hCoV-19/England/LSPA-3E2D9CF/2022,,ba_5
2449,,,EPI_ISL_14300238,,,hCoV-19/England/PHEC-YYGM7KU/2022,,ba_5
2450,,,EPI_ISL_14885253,,,hCoV-19/Scotland/EDB70886/2022,,ba_5
2451,,,EPI_ISL_13842007,,,hCoV-19/England/PHEP-YYFJMRS/2022,,ba_5
2452,,,EPI_ISL_14618316,,,hCoV-19/Scotland/LSPA-3F66F03/2022,,ba_5
2453,,,EPI_ISL_15387126,,,hCoV-19/Wales/PHWC-PKRSUZ/2022,,ba_5
2454,,,EPI_ISL_14948784,,,hCoV-19/England/QEUH-3F89EB2/2022,,ba_5
2455,,,EPI_ISL_16213792,,,hCoV-19/England/PHEC-YY8TS6D/2022,,ba_5
2456,,,EPI_ISL_15801283,,,hCoV-19/Wales/PHWC-PKG91C/2022,,ba_5
2457,,,EPI_ISL_14587701,,,hCoV-19/Northern Ireland/NIRE-01e365/2022,,ba_5
2458,,,EPI_ISL_15468261,,,hCoV-19/England/LSPA-325AAC15/2022,,ba_5
2459,,,EPI_ISL_15909789,,,hCoV-19/Scotland/LSPA-325F4414/2022,,ba_5
2460,,,EPI_ISL_15212007,,,hCoV-19/England/PHEC-YYGHIMS/2022,,ba_5
2461,,,EPI_ISL_16904120,,,hCoV-19/England/PHEC-YYEYTCX/2023,,ba_5
2462,,,EPI_ISL_13610406,,,hCoV-19/England/LSPA-3E930A1/2022,,ba_5
2463,,,EPI_ISL_15612822,,,hCoV-19/Wales/PHWC-PKFACN/2022,,ba_5
2464,,,EPI_ISL_15345215,,,hCoV-19/England/LSPA-3259A02B/2022,,ba_5
2465,,,EPI_ISL_14995214,,,hCoV-19/England/PHEC-YYG3AXT/2022,,ba_5
2466,,,EPI_ISL_15110597,,,hCoV-19/Wales/PHWC-PKD7OA/2022,,ba_5
2467,,,EPI_ISL_13615428,,,hCoV-19/Scotland/EDB63584/2022,,ba_5
2468,,,EPI_ISL_13498418,,,hCoV-19/England/LSPA-3E761CF/2022,,ba_5
2469,,,EPI_ISL_15801063,,,hCoV-19/England/PHEC-YY8CO91/2022,,ba_5
2470,,,EPI_ISL_13603810,,,hCoV-19/Scotland/LSPA-3E8A4A1/2022,,ba_5
2471,,,EPI_ISL_14459856,,,hCoV-19/England/PHEP-YYF1B3N/2022,,ba_5
2472,,,EPI_ISL_14812237,,,hCoV-19/England/PHEC-YYGABW9/2022,,ba_5
2473,,,EPI_ISL_14543796,,,hCoV-19/Wales/PHWC-PKNOBG/2022,,ba_5
2474,,,EPI_ISL_15344471,,,hCoV-19/England/LSPA-32592E1A/2022,,ba_5
2475,,,EPI_ISL_13657615,,,hCoV-19/England/PHEP-YYFD48P/2022,,ba_5
2476,,,EPI_ISL_14810524,,,hCoV-19/England/LSPA-3F7C4CF/2022,,ba_5
2477,,,EPI_ISL_14193778,,,hCoV-19/England/LSPA-3F22932/2022,,ba_5
2478,,,EPI_ISL_13739900,,,hCoV-19/England/QEUH-3EB3FEA/2022,,ba_5
2479,,,EPI_ISL_14750470,,,hCoV-19/England/PHEP-YYFWNKH/2022,,ba_5
2480,,,EPI_ISL_15268711,,,hCoV-19/England/PHEC-YYG7MH5/2022,,ba_5
2481,,,EPI_ISL_13538213,,,hCoV-19/England/QEUH-3E7B78C/2022,,ba_5
2482,,,EPI_ISL_14750508,,,hCoV-19/England/PHEP-YYFWYK6/2022,,ba_5
2483,,,EPI_ISL_15677366,,,hCoV-19/Scotland/LSPA-325D80A9/2022,,ba_5
2484,,,EPI_ISL_15650690,,,hCoV-19/Wales/PHWC-PKGMTN/2022,,ba_5
2485,,,EPI_ISL_14786933,,,hCoV-19/Wales/PHWC-PKDMOK/2022,,ba_5
2486,,,EPI_ISL_14212609,,,hCoV-19/Scotland/SCOT-16421/2022,,ba_5
2487,,,EPI_ISL_14024133,,,hCoV-19/England/PHEC-YYGNC3Z/2022,,ba_5
2488,,,EPI_ISL_14173822,,,hCoV-19/England/PHEP-YYFXOPU/2022,,ba_5
2489,,,EPI_ISL_16485040,,,hCoV-19/England/QEUH-32680C32/2022,,ba_5
2490,,,EPI_ISL_17007161,,,hCoV-19/England/BRBR-326D4EB1/2023,,ba_5
2491,,,EPI_ISL_14258567,,,hCoV-19/Scotland/EDB68027/2022,,ba_5
2492,,,EPI_ISL_15084514,,,hCoV-19/England/PHEP-YYFI5JD/2022,,ba_5
2493,,,EPI_ISL_15525460,,,hCoV-19/England/PHEC-YY8F5UP/2022,,ba_5
2494,,,EPI_ISL_14025480,,,hCoV-19/Wales/PHWC-PKYG9Z/2022,,ba_5
2495,,,EPI_ISL_16280345,,,hCoV-19/England/QEUH-32633445/2022,,ba_5
2496,,,EPI_ISL_14684105,,,hCoV-19/England/QEUH-3F6E888/2022,,ba_5
2497,,,EPI_ISL_15682345,,,hCoV-19/England/PHEP-YYF6YPR/2022,,ba_5
2498,,,EPI_ISL_13823943,,,hCoV-19/England/PHEC-YYF3A6U/2022,,ba_5
2499,,,EPI_ISL_17245536,,,hCoV-19/England/PHEC-YYEK9JU/2023,,ba_5
2500,,,EPI_ISL_17326746,,,hCoV-19/Scotland/SCOT-27541/2023,,ba_5
2501,,,EPI_ISL_16350642,,,hCoV-19/England/QEUH-32644BD3/2022,,ba_5
2502,,,EPI_ISL_15232788,,,hCoV-19/Scotland/LSPA-32579DFE/2022,,ba_5
2503,,,EPI_ISL_14588058,,,hCoV-19/England/PHEP-YYFUQES/2022,,ba_5
2504,,,EPI_ISL_15505976,,,hCoV-19/England/PHEC-YY8FU69/2022,,ba_5
2505,,,EPI_ISL_15384320,,,hCoV-19/England/QEUH-325A1980/2022,,ba_5
2506,,,EPI_ISL_14300755,,,hCoV-19/England/PHEC-YYGMTO1/2022,,ba_5
2507,,,EPI_ISL_14572874,,,hCoV-19/Wales/PHWC-PKNZ8U/2022,,ba_5
2508,,,EPI_ISL_15304054,,,hCoV-19/England/PHEP-YYFZARC/2022,,ba_5
2509,,,EPI_ISL_16430026,,,hCoV-19/England/QEUH-32646E41/2022,,ba_5
2510,,,EPI_ISL_15453871,,,hCoV-19/England/PHEC-YY8DA4G/2022,,ba_5
2511,,,EPI_ISL_13516107,,,hCoV-19/Scotland/LSPA-3E79B0A/2022,,ba_5
2512,,,EPI_ISL_17032779,,,hCoV-19/England/PHEP-YYGK4YC/2023,,ba_5
2513,,,EPI_ISL_15469566,,,hCoV-19/England/PLYM-325AFCF2/2022,,ba_5
2514,,,EPI_ISL_14571581,,,hCoV-19/England/PHEC-YYGU6WC/2022,,ba_5
2515,,,EPI_ISL_16903124,,,hCoV-19/England/BRBR-326BE49D/2023,,ba_5
2516,,,EPI_ISL_16467840,,,hCoV-19/England/BRBR-32681651/2023,,ba_5
2517,,,EPI_ISL_16430028,,,hCoV-19/England/QEUH-326561EB/2022,,ba_5
2518,,,EPI_ISL_13399076,,,hCoV-19/England/QEUH-3E5D3F5/2022,,ba_5
2519,,,EPI_ISL_17094588,,,hCoV-19/England/PHEC-YYEGBIY/2023,,ba_5
2520,,,EPI_ISL_16148652,,,hCoV-19/England/QEUH-326132D8/2022,,ba_5
2521,,,EPI_ISL_15580858,,,hCoV-19/England/PHEP-YYF5HRY/2022,,ba_5
2522,,,EPI_ISL_14509260,,,hCoV-19/England/PHEC-YYG19GK/2022,,ba_5
2523,,,EPI_ISL_14165672,,,hCoV-19/England/LSPA-3F04295/2022,,ba_5
2524,,,EPI_ISL_14041848,,,hCoV-19/Scotland/LSPA-3EBFDF3/2022,,ba_5
2525,,,EPI_ISL_16213176,,,hCoV-19/England/LSPA-3261EE33/2022,,ba_5
2526,,,EPI_ISL_16442963,,,hCoV-19/England/PHEC-YY8IOFW/2022,,ba_5
2527,,,EPI_ISL_15467796,,,hCoV-19/England/PLYM-325B7802/2022,,ba_5
2528,,,EPI_ISL_15304859,,,hCoV-19/Scotland/SCOT-19552/2022,,ba_5
2529,,,EPI_ISL_16584221,,,hCoV-19/England/QEUH-3269173D/2023,,ba_5
2530,,,EPI_ISL_15682494,,,hCoV-19/England/PHEP-YYFH9R5/2022,,ba_5
2531,,,EPI_ISL_14089679,,,hCoV-19/Scotland/EDB66907/2022,,ba_5
2532,,,EPI_ISL_14041618,,,hCoV-19/Scotland/LSPA-3ED344F/2022,,ba_5
2533,,,EPI_ISL_14164101,,,hCoV-19/England/LSPA-3F1A7AC/2022,,ba_5
2534,,,EPI_ISL_14020686,,,hCoV-19/England/QEUH-3EEEB97/2022,,ba_5
2535,,,EPI_ISL_13715792,,,hCoV-19/England/PHEC-YYFSYE6/2022,,ba_5
2536,,,EPI_ISL_13694368,,,hCoV-19/England/PHEC-YYFIXMM/2022,,ba_5
2537,,,EPI_ISL_17178843,,,hCoV-19/Scotland/SCOT-26244/2023,,ba_5
2538,,,EPI_ISL_13130057,,,hCoV-19/England/QEUH-3E39A81/2022,,ba_5
2539,,,EPI_ISL_14301436,,,hCoV-19/England/PHEC-YYGPSC1/2022,,ba_5
2540,,,EPI_ISL_16052259,,,hCoV-19/England/LSPA-32604EC7/2022,,ba_5
2541,,,EPI_ISL_13567117,,,hCoV-19/England/LSPA-3E8A104/2022,,ba_5
2542,,,EPI_ISL_17046150,,,hCoV-19/England/QEUH-326D9C0D/2023,,ba_5
2543,,,EPI_ISL_15726061,,,hCoV-19/England/PHEC-YY8K9BR/2022,,ba_5
2544,,,EPI_ISL_16213281,,,hCoV-19/Scotland/QEUH-3262417D/2022,,ba_5
2545,,,EPI_ISL_15366285,,,hCoV-19/England/PLYM-3259168C/2022,,ba_5
2546,,,EPI_ISL_16407613,,,hCoV-19/England/BRBR-326463AC/2022,,ba_5
2547,,,EPI_ISL_16441308,,,hCoV-19/England/QEUH-32675210/2022,,ba_5
2548,,,EPI_ISL_15296364,,,hCoV-19/England/QEUH-32588FC9/2022,,ba_5
2549,,,EPI_ISL_13741101,,,hCoV-19/Northern Ireland/NIRE-01dac0/2022,,ba_5
2550,,,EPI_ISL_17241785,,,hCoV-19/England/BRBR-326FE7F2/2023,,ba_5
2551,,,EPI_ISL_16904183,,,hCoV-19/England/PHEC-YYEYWRH/2023,,ba_5
2552,,,EPI_ISL_1122691,,,hCoV-19/England/ALDP-130BDDB/2021,,beta
2553,,,EPI_ISL_922966,,,hCoV-19/Wales/PHWC-4BD45D/2021,,beta
2554,,,EPI_ISL_1376701,,,hCoV-19/England/MILK-140E3F3/2021,,beta
2555,,,EPI_ISL_1416131,,,hCoV-19/Wales/CAMC-13FBBA7/2021,,beta
2556,,,EPI_ISL_1741978,,,hCoV-19/Scotland/QEUH-14FF2CB/2021,,beta
2557,,,EPI_ISL_1718983,,,hCoV-19/England/MILK-1513E62/2021,,beta
2558,,,EPI_ISL_3776303,,,hCoV-19/England/PHEC-U303UCBB/2021,,beta
2559,,,EPI_ISL_766232,,,hCoV-19/England/205360508/2020,,beta
2560,,,EPI_ISL_1275891,,,hCoV-19/England/CAMC-139526E/2021,,beta
2561,,,EPI_ISL_770464,,,hCoV-19/England/205300066/2020,,beta
2562,,,EPI_ISL_1487094,,,hCoV-19/England/MILK-148E3FB/2021,,beta
2563,,,EPI_ISL_3776701,,,hCoV-19/England/PHEC-U307U40A/2021,,beta
2564,,,EPI_ISL_836600,,,hCoV-19/England/CAMC-EDE708/2021,,beta
2565,,,EPI_ISL_2640123,,,hCoV-19/Wales/MILK-1693BDB/2021,,beta
2566,,,EPI_ISL_2238002,,,hCoV-19/England/MILK-1589456/2021,,beta
2567,,,EPI_ISL_837197,,,hCoV-19/England/210241219/2021,,beta
2568,,,EPI_ISL_1564401,,,hCoV-19/England/RAND-14D444E/2021,,beta
2569,,,EPI_ISL_1410122,,,hCoV-19/England/CAMC-141BC61/2021,,beta
2570,,,EPI_ISL_1631640,,,hCoV-19/England/MILK-14BF76E/2021,,beta
2571,,,EPI_ISL_2239756,,,hCoV-19/England/NORT-1BBB32B/2021,,beta
2572,,,EPI_ISL_2238083,,,hCoV-19/England/MILK-1571DA1/2021,,beta
2573,,,EPI_ISL_916363,,,hCoV-19/England/CAMC-10FAE57/2021,,beta
2574,,,EPI_ISL_1044913,,,hCoV-19/England/ALDP-128F0D7/2021,,beta
2575,,,EPI_ISL_1072649,,,hCoV-19/England/ALDP-12B8F8D/2021,,beta
2576,,,EPI_ISL_2172147,,,hCoV-19/England/MILK-1537A55/2021,,beta
2577,,,EPI_ISL_2006623,,,hCoV-19/England/HSLL-1532FC4/2021,,beta
2578,,,EPI_ISL_2005265,,,hCoV-19/England/QEUH-153D9F8/2021,,beta
2579,,,EPI_ISL_1243872,,,hCoV-19/England/ALDP-136EBAF/2021,,beta
2580,,,EPI_ISL_2735859,,,hCoV-19/England/PHEC-15588B/2021,,beta
2581,,,EPI_ISL_1101750,,,hCoV-19/England/RAND-12D797B/2021,,beta
2582,,,EPI_ISL_770440,,,hCoV-19/England/205280029/2020,,beta
2583,,,EPI_ISL_1108002,,,hCoV-19/England/QEUH-121D584/2021,,beta
2584,,,EPI_ISL_2238946,,,hCoV-19/England/LOND-128E80D/2021,,beta
2585,,,EPI_ISL_919484,,,hCoV-19/England/LIVE-DDF88D/2021,,beta
2586,,,EPI_ISL_2366297,,,hCoV-19/England/MILK-15BF18D/2021,,beta
